;;;;;;;;;;PERFECT VISION;;;;;;;
;;;;;;;;;;BALAIS PLAT AVANT MULTICONNEXION;;;;BALAIS AVANT STANTARD;;;ARRIERE
ID;Car Marker;Model;picto1;picto2;Dir;Month;"Year
Start";Month;"Year
End";KIT AVANT;CÔTE CONDUCTEUR;MONO BALAIS;CÔTE PASSAGER;CÔTE CONDUCTEUR;MONO BALAIS;CÔTE PASSAGER;ARRIERE
8727;ABARTH;124 Spider;Convertible;;LHD;06;2016;12;2019;;VS 32+ (,U,);;VS 33+ (,U,);VS 32 (,U,);;VS 33 (,U,);
8728;ABARTH;124 Spider;Convertible;;RHD;06;2016;12;2019;;VS 32+ (,U,);;VS 33+ (,U,);VS 32 (,U,);;VS 33 (,U,);
8487;ABARTH;500 Abarth 595 (All models);;;LHD;03;2012;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
8500;ABARTH;500 Abarth 595 (All models);;;RHD;03;2012;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
8488;ABARTH;500 Abarth 595C (All models);Convertible;;LHD;03;2012;;2024;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;
8501;ABARTH;500 Abarth 595C (All models);Convertible;;RHD;03;2012;;2024;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;
8491;ABARTH;500 Abarth 695 (All models);;;LHD;03;2012;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
8502;ABARTH;500 Abarth 695 (All models);;;RHD;03;2012;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
8492;ABARTH;500 Abarth 695C (All models);Convertible;;LHD;03;2012;;2024;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;
8503;ABARTH;500 Abarth 695C (All models);Convertible;;RHD;03;2012;;2024;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;
9983;ABARTH;500e Abarth (All models);;(Rear: Except 500 typ 312);LHD;02;2023;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
9984;ABARTH;500e Abarth (All models);;(Rear: Except 500 typ 312);RHD;02;2023;;;;VS 77 (P+Y) (,2V,);;VS 70 (P+Y) (,2V,);;;;VS 06 (,,)
