;Modèle/ Modello;"construction/
Anno di costruzione";Type/conception Tipo/versione;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ABARTH;124 Spider;03/16->>;Halogen;H11;H15;H15;W5W;H11;WY21W;WY21W;LED;LED;W5W;6411;-;
;;;LED;LED;LED;LED;LED;H11;WY21W;WY21W;LED;LED;W5W;6411;-;
;500 / 595 / 695;01/08->>;> 2014, Halogen;H7;H1;W21/5W;W21/5W;H3;WY21W;PY21W;R10W;P21W;C5W;C5W;W5W;
;;;> 2014, Bi-Xenon;D1S;H1;W21/5W;W21/5W;H3;**;PY21W;R10W;P21W;C5W;C5W;W5W;
;;;< 2015, Halogen;H7;H7;W21W;LED;H3;**;PY21W;LED;P21W;C5W;C5W;W5W;
;;;< 2015, Bi-Xenon;D1S;H7;W21W;LED;H3;**;PY21W;LED;P21W;C5W;C5W;W5W;
;500C / 595C / 695C;05/08->>;> 2014, Halogen;H7;H1;W21/5W;W21/5W;H3;WY21W;PY21W;R10W;P21W;C5W;C5W;W5W;
;;;> 2014, Bi-Xenon;D1S;H1;W21/5W;W21/5W;H3;**;PY21W;R10W;P21W;C5W;C5W;W5W;
;;;< 2015, Halogen;H7;H7;W21W;LED;H3;**;PY21W;LED;P21W;C5W;C5W;W5W;
;;;< 2015, Bi-Xenon;D1S;H7;W21W;LED;H3;**;PY21W;LED;P21W;C5W;C5W;W5W;
;GRANDE PUNTO;12/07-12/12;Standard;H4;H4;-;W5W;H1;PY21W;P21W;R5W;P21/5W;W5W;6411;-;
;PUNTO (199_);07/08->>;Standard;H4;H4;W21W;W5W;H11;PY21W;PY21W;LED;P21W;W5W;6411;-;
ALFA ROMEO;;;;;;;;;;;;;;;;
ALFA ROMEO;145 (930_);07/94-01/01;Standard;H1;H1;-;W5W;H3;PY21W;PY21W;P21/5W;P21/5W;W5W;6411;6411;
;146 (930_);12/94-01/01;> 1997;H1;H1;-;W5W;H3;PY21W;PY21W;P21/5W;P21/5W;W5W;6411;6411;
;;;< 1998;H1;H1;-;W5W;H3;PY21W;PY21W;P21/5W;P21/5W;W5W;6411;6411;
;147 (937_);11/00-03/10;> 2004, Halogen;H7;H7;-;H6W;H1;H21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;;;> 2004, Xenon;D2S;H7;-;H6W;H1;H21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;;;< 2005, Halogen;H7;H1;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;;;< 2005, Xenon;D2S;H1;-;W5W;H3;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;155 (167_);01/92-12/97;Standard;H1;H1;-;W5W;H3;P21W;P21W;R5W;P21W;W5W;6411;**;
;156 (932_);09/97-09/05;Halogen;H7;H1;-;H6W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6413;
;;;Xenon;D2S;H1;-;H6W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6413;
;156 Sportwagon (932_);01/00-05/06;Halogen;H7;H1;-;H6W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6413;
;;;Xenon;D2S;H1;-;H6W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6413;
;159 (939_);09/05-11/11;Halogen;H7;H7;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;6411;6411;
;;;Bi-Xenon;D1S;H1;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;6411;6411;
;159 Sportwagon (939_);03/06-11/11;Halogen;H7;H7;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;-;6411;
;;;Bi-Xenon;D1S;H1;-;W5W;H1;PY21W;PY21W;P21/5W;P21/5W;W5W;-;6411;
;164 (164_);01/87-09/98;> 1991;H4;H4;-;W5W;H3;P21W;P21W;R10W;P21W;R5W;C5W/ 6411;C5W;
;;;< 1992;H1;H1;-;W5W;H3;PY21W;PY21W;P21/5W;P21/5W;R5W;C5W/ 6411;C5W;
;166 (936_);09/98-06/07;Halogen;H7;HB3;-;H6W;H3;PY21W;LED;P21/5W;P21/5W;W5W;6411;-;
;;;Xenon;D2S;HB3;-;H6W;H3;PY21W;LED;P21/5W;P21/5W;W5W;6411;-;
;;;Bi-Xenon;D1S;HB3;-;H6W;H3;PY21W;LED;P21/5W;P21/5W;W5W;6411;-;
;33 (907_);01/90-09/94;Standard;H4;H4;-;W5W;H3;P21W;P21W;R10W;P21W;C5W;C5W/ 6411;T4W;
;33 Sportwagon (907_);01/90-09/94;Standard;H4;H4;-;W5W;H3;P21W;P21W;R10W;P21W;R5W;C5W/ 6411;T4W;
;4C (960_);03/13->>;Halogen;H7;H7;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;;;Bi-Xenon;D2S;D2S;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;;;LED;LED;LED;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;4C SPIDER (960_);10/14->>;Halogen;H7;H7;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;;;Bi-Xenon;D2S;D2S;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;;;LED;LED;LED;LED;LED;-;PY21W;P21W;LED;LED;W5W;6411;W5W;
;75 (162_);05/85-12/92;Standard;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21W;C5W;6411;-;
;BRERA (939_);01/06-06/10;Halogen;H7;H7;-;W5W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;;;Bi-Xenon;D1S;H1;-;W5W;H1;PY21W;P21W;P21/5W;P21/5W;W5W;6411;6411;
;GIULIA (952_);10/15->>;Halogen;H7;H15;H15;H15;H11;**;LED;LED;LED;LED;LED;W5W;
;;;Bi-Xenon, avec éclairage adaptatif1;D3S;D3S;LED;LED;H11;LED;LED;LED;LED;LED;LED;W5W;
;;;Bi-Xenon, sans éclairage adaptatif2;**;**;LED;LED;H11;LED;LED;LED;LED;LED;LED;W5W;
;GIULIETTA (940_);04/10->>;Halogen;H7;H1;LED;LED;H3;**;R10W;LED;LED;W5W;6411;W5W;
;;;Bi-Xenon;D1S;H1;LED;LED;H3;**;R10W;LED;LED;W5W;6411;W5W;
;GIULIETTA Hatchback Van (940_);04/11->>;Halogen;H7;H1;LED;LED;H3;**;R10W;LED;LED;W5W;6411;W5W;
;;;Bi-Xenon;D1S;H1;LED;LED;H3;**;R10W;LED;LED;W5W;6411;W5W;
;GT (937_);11/03-09/10;Halogen;H7;H7;-;H6W;H1;H21W;H21W;P21/5W;P21/5W;W5W;6411;C5W;
;;;Xenon;D2S;H7;-;H6W;H1;H21W;H21W;P21/5W;P21/5W;W5W;6411;C5W;
;GTV (916_);09/94-10/05;Standard;HB3;HB3;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;W5W;6411;-;
;MITO (955_);09/08->>;Halogen;H7;H7;W21/5W;W21/5W;H1;**;P21W;LED;LED;W5W;6411;W5W;
;;;Bi-Xenon;D1S;H7;W21/5W;W21/5W;H1;**;P21W;LED;LED;W5W;6411;W5W;
;SPIDER (115_);03/71-12/93;Standard;H4;H4;-;R5W;-;P21W;P21W;P21/5W;P21/5W;C5W;-;C5W;
;SPIDER (916_);09/94-04/05;Standard;HB3;HB3;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;W5W;6411;-;
;SPIDER (939_);03/06-06/10;Halogen;H7;H7;-;W5W;H1;PY21W;PY21W;P21W;P21/5W;W5W;6411;6411;
;;;Bi-Xenon;D1S;H1;-;W5W;H1;PY21W;PY21W;P21W;P21/5W;W5W;6411;6411;
;STELVIO (949_);12/16->>;Halogen;H7;H15;H15;H15;H11;**;LED;LED;LED;LED;**;**;
;;;Bi-Xenon;D3S;D3S;LED;LED;LED;LED;LED;LED;LED;LED;**;**;
ALPINA;;;;;;;;;;;;;;;;
ALPINA;B10 (E34);04/88-04/95;Standard;H1;H1;-;W5W;H1;P21W;P21W;R10W;P21W;C5W;**;6411;
;B10 (E39);12/96-05/04;> 2000/08, Halogen;H7;HB3;-;W5W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;;> 2000/08, Xenon;D2S;HB3;-;H6W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;;< 2000/09, Halogen;D2S;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;;;< 2000/09, Xenon;H7;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;B10 Touring (E34);11/93-04/96;Standard;H1;H1;-;W5W;H1;P21W;P21W;R10W;P21W;C5W;**;6411;
;B10 Touring (E39);01/97-05/04;> 2000/08, Halogen;H7;HB3;-;W5W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;;> 2000/08, Xenon;D2S;HB3;-;H6W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;;< 2000/09, Halogen;D2S;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;;;< 2000/09, Xenon;H7;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;B11 (E32);01/87-02/94;Standard;H1;H1;-;W5W;H1;P21W;P21W;R5W;P21W;C5W;6411/**;6411;
;B12 (E38);12/95-07/01;> 1998/08, Halogen;H1;H7;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411/**;6411;
;;;> 1998/08, Xenon;D2S;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411/**;6411;
;;;< 1998/09, Halogen;H7;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;P21/5W;P21/5W;C5W;6411/**;6411;
;;;< 1998/09, Xenon;D2S;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;P21/5W;P21/5W;C5W;6411/**;6411;
;B12 Coupe (E31);06/90-12/96;Standard;H1;H1;-;W5W;H1;P21W;P21W;R5W;P21W;C5W;6411;6411;
